Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Common Eider,Somateria mollissima,COEI,Wet,"A,C",1,60,two-season,2,Coastal,background_jan_feb,tss,"13,31,27,0",,,,Non-Breeding,,,
Common Gallinule,Gallinula chloropus,COGA,Wet,M,1,60,two-season,3,Marshlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Common Goldeneye,Bucephala clangula,COGO,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Common Grackle,Quiscalus quiscula,COGR,Var,F-E,1,60,two-season,2,Eastern.Forests,background_jan_feb,tss,,,,"34,38,43,44,45,47,48,49,50,52,53,54,56,57,58,59,60,61,66",Non-Breeding,,,
Common Ground-Dove,Columbina passerina,COGD,Sh,D,1,366,resident,9,Aridlands,background_jan_dec,tss,,,,,Non-Breeding,,,
Common Loon,Gavia immer,COLO,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,tss,"6,34,11,12,15,4,16,18,20,10,23,19,21,22,25,26,35,24,13,0,100,9,29",,,,Non-Breeding,,,
Common Merganser,Mergus merganser,COME,Wet,"F-B,F-E,F-W",1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Common Murre,Uria aalge,COMU,Wet,"O,C",1,60,two-season,2,Coastal,background_jan_feb,min_pred,,,,,Non-Breeding,,,
Common Myna,Acridotheres tristis,COMY,U,Urban/Suburban,1,366,resident,2,Urban.Suburban,background_jan_dec,tss,,,,"36,37,38,43,44,45,47,48,49,50,52,53,54,56,57,58,59,60,61,66",Non-Breeding,,,
Common Pauraque,Nyctidromus albicollis,COPA,Sh,F-S,1,366,resident,2,Subtropical.Forests,background_jan_dec,mk,,,,31,Non-Breeding,,,
Common Poorwill,Phalaenoptilus nuttallii,COPO,Sh,D,1,60,two-season,2,Aridlands,background_jan_feb,tss,,,,,Non-Breeding,,,
Common Raven,Corvus corax,CORA,Var,GEN,1,366,resident,2,Generalists,background_jan_dec,custom,,,,"55,56,57",Non-Breeding,,,
Common Redpoll,Acanthis flammea,CORE,Sh,"A,F-B",1,60,two-season,10,Arctic,background_jan_feb,om_10,,,,,Non-Breeding,,,
Common Yellowthroat,Geothlypis trichas,COYE,Sh,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"13,18,23,11,0,19,5,14,30,28,29,24",,,,Non-Breeding,,,
Cooper's Hawk,Accipiter cooperii,COHA,Wd,"F-E,F-W,F-S",1,60,two-season,2,Generalists,background_jan_feb,om_10,"8,6,0",,,,Non-Breeding,,,
Cordilleran Flycatcher,Empidonax occidentalis,COFL,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,mo,,,,,Non-Breeding,,,
